Crop,Soil,Rainfall,Temperature,Fertilizer,Area,Yield
Cocoa,Silty,1168.09,15.5,205.4,9.51,0.8
Apples,Clay,1296.3,29.97,96.85,9.72,1.34
Potatoes,Loamy,1452.28,19.65,249.65,8.33,1.71
Chickpeas,Silty,1084.84,31.2,191.59,1.49,0.98
Sorghum,Chalky,1342.76,32.57,275.13,4.57,3.1
Spinach,Clay,874.94,32.1,245.39,6.27,3.25
Oranges,Sandy,1489.98,15.07,56.85,3.98,4.41
Garlic,Clay,752.31,26.48,121.16,7.55,2.47
Soybeans,Sandy,432.76,29.41,181.49,6.11,2.96
Oats,Silty,890.98,26.0,80.42,2.56,1.23
Rice,Clay,240.49,25.76,84.87,9.64,2.15
Potatoes,Loamy,369.16,24.96,138.99,2.33,3.31
Millet,Peaty,1466.72,31.26,270.17,1.66,5.0
Barley,Sandy,1262.29,28.18,116.63,0.8,2.23
Wheat,Silty,1386.84,14.15,289.21,6.0,2.94
Maize,Silty,1373.9,15.93,197.25,7.0,4.79
Wheat,Clay,643.71,25.11,237.03,6.6,1.19
Soybeans,Chalky,713.06,21.48,161.35,5.16,4.82
Wheat,Loamy,1247.64,34.46,227.8,3.38,4.84
Sunflower,Chalky,707.39,12.78,295.16,7.68,3.14
Blueberries,Clay,1062.12,24.4,194.71,1.57,3.06
Tea,Peaty,223.73,23.67,277.48,4.47,4.92
Hemp,Loamy,1175.43,17.51,211.24,6.41,3.65
Amaranth,Peaty,917.09,30.39,288.82,5.88,4.78
Beans,Silty,271.71,14.47,288.35,8.62,4.01
Cowpeas,Sandy,873.55,21.02,67.33,7.8,2.44
Peanuts,Silty,798.14,30.15,260.31,6.66,2.57
Barley,Sandy,494.44,12.07,164.12,1.01,2.48
Sunflower,Loamy,1230.55,22.11,250.72,7.67,0.95
Apples,Silty,401.22,29.95,235.83,7.26,3.12
Wheat,Silty,789.02,31.67,280.93,5.82,3.86
Mangoes,Chalky,1370.73,29.37,238.27,8.02,3.71
Beans,Loamy,1254.7,28.71,280.39,9.82,1.86
Sunflower,Sandy,536.58,32.15,91.07,8.89,2.4
Cabbage,Silty,1365.58,17.52,295.65,2.55,2.26
Avocados,Chalky,236.4,27.02,285.36,0.51,4.69
Rice,Peaty,1349.56,33.55,53.62,4.84,4.07
Pears,Loamy,972.37,21.28,90.65,3.3,4.93
Coffee,Peaty,932.89,28.7,145.63,7.86,3.34
Hemp,Loamy,783.89,28.76,103.52,2.13,4.39
Tea,Clay,850.93,28.69,87.92,2.93,2.29
Coffee,Silty,885.4,11.54,281.14,1.65,1.52
Carrots,Clay,1356.7,13.72,157.27,6.0,0.58
Cabbage,Silty,872.69,31.33,159.06,3.9,2.03
Cocoa,Silty,1422.87,29.87,202.06,9.45,2.48
Pears,Sandy,244.27,11.98,188.04,7.76,2.61
Maize,Clay,736.85,29.59,216.39,4.01,2.95
Potatoes,Peaty,559.53,30.78,95.59,7.09,1.47
Garlic,Sandy,565.94,31.98,190.79,5.36,4.57
Pears,Sandy,1304.71,16.78,98.12,2.37,1.22
Corn,Loamy,589.77,14.85,213.21,6.23,0.97
Lettuce,Peaty,632.42,20.35,173.5,6.36,0.86
Cassava,Loamy,919.27,30.68,290.02,7.93,2.02
Peas,Sandy,504.02,28.07,278.95,5.12,4.88
Greengrams,Peaty,1375.25,30.98,123.28,3.38,2.01
Flax,Silty,1228.88,20.24,158.44,5.35,0.85
Flax,Loamy,1476.42,18.94,129.57,9.16,2.02
Millet,Loamy,1036.56,14.26,53.24,9.31,4.65
Pumpkin,Clay,203.74,24.96,80.15,7.71,3.31
Amaranth,Peaty,300.71,27.39,261.91,2.58,3.77
Spinach,Sandy,519.83,14.42,192.52,4.54,4.33
Sunflower,Chalky,351.96,30.47,89.37,9.19,2.73
Corn,Silty,1135.07,34.79,63.59,4.76,3.07
Oats,Peaty,786.78,31.17,160.07,6.11,2.28
Mangoes,Chalky,1480.61,27.15,290.8,8.19,4.74
Rice,Sandy,609.09,16.89,69.01,9.41,2.35
Lentils,Silty,1223.15,19.53,69.99,1.14,3.49
Cotton,Loamy,995.87,15.95,217.54,8.71,3.97
Soybeans,Silty,804.99,32.43,250.64,9.7,4.85
Alfalfa,Sandy,1351.18,26.22,154.99,1.42,0.69
Beans,Peaty,742.28,28.73,61.61,9.34,2.2
Cauliflower,Chalky,748.86,33.92,266.04,8.34,4.05
Cabbage,Chalky,948.7,22.98,228.49,0.63,0.74
Grapes,Loamy,1221.47,19.15,115.67,4.42,3.33
Wheat,Sandy,282.47,11.07,189.16,3.63,1.5
Carrots,Silty,762.92,19.71,103.39,4.87,4.33
Greengrams,Silty,1188.26,21.65,218.95,1.25,4.01
Quinoa,Silty,1115.21,24.74,166.05,2.98,1.37
Beans,Clay,278.29,33.68,280.41,7.13,1.04
Mangoes,Chalky,641.25,24.35,107.2,3.75,4.23
Millet,Sandy,1202.05,30.07,170.39,2.52,2.49
Cocoa,Clay,1414.13,23.46,92.96,1.66,0.87
Coffee,Loamy,1334.12,28.79,167.7,0.97,2.57
Lentils,Silty,802.75,13.33,288.48,8.15,1.14
Oranges,Clay,1389.43,18.45,159.25,8.6,1.66
Beans,Loamy,402.68,13.11,273.7,3.15,4.06
Rice,Chalky,969.46,23.22,81.97,4.16,1.69
Beans,Chalky,533.55,30.6,222.19,8.72,4.61
Lentils,Sandy,926.41,20.81,257.8,7.88,4.73
Quinoa,Peaty,826.35,31.17,58.42,8.28,1.66
Flax,Peaty,798.59,13.49,250.69,7.58,4.2
Onions,Chalky,253.03,18.44,78.51,9.94,0.82
Cowpeas,Clay,244.74,11.26,260.85,0.7,1.52
Corn,Silty,965.84,31.36,69.3,6.99,3.21
Cauliflower,Chalky,1091.71,26.69,61.51,4.44,4.23
Sorghum,Silty,241.27,34.46,223.66,9.99,3.22
Quinoa,Silty,551.09,22.89,268.46,7.13,4.14
Alfalfa,Peaty,257.61,10.57,97.88,7.26,1.89
Cauliflower,Clay,899.02,18.43,98.22,7.51,1.19
Oranges,Loamy,1452.28,14.98,69.18,0.74,3.63
Tea,Peaty,622.17,32.07,286.68,6.49,0.96
Avocados,Peaty,1366.72,32.7,140.26,0.84,1.19
Rice,Silty,993.3,31.28,299.32,4.72,2.88
Cocoa,Chalky,1107.61,33.88,245.72,2.73,3.43
Tobacco,Chalky,293.0,28.54,115.66,7.98,4.37
Beans,Sandy,1164.68,13.53,191.93,4.27,4.1
Cauliflower,Sandy,475.33,18.69,172.7,7.46,3.27
Hemp,Peaty,652.39,32.41,263.86,8.7,3.26
Corn,Loamy,1474.22,18.12,186.55,6.46,4.71
Spinach,Loamy,327.77,18.29,292.66,8.1,1.27
Grapes,Sandy,838.8,24.03,141.75,7.98,2.19
Sugarcane,Loamy,289.93,18.07,98.45,8.76,1.65
Chickpeas,Silty,1455.63,22.98,102.64,2.53,3.53
Hemp,Clay,340.21,17.3,224.74,5.13,1.41
Peas,Silty,273.08,29.08,244.44,9.05,2.91
Millet,Chalky,1355.78,32.02,54.56,8.89,1.56
Chickpeas,Peaty,403.43,34.34,209.71,2.78,3.76
Avocados,Silty,448.74,33.76,130.61,7.93,1.35
Pineapple,Peaty,1207.73,34.06,60.04,2.69,1.69
Blueberries,Sandy,1149.34,23.6,291.72,2.79,4.11
Greengrams,Peaty,1425.21,17.59,201.95,1.91,2.89
Bananas,Loamy,1199.95,29.15,111.48,4.82,2.01
Barley,Loamy,826.07,30.53,183.57,1.13,4.68
Tobacco,Silty,1358.81,12.46,57.49,1.32,2.36
Cauliflower,Sandy,1286.65,10.91,171.56,3.36,2.51
Grapes,Sandy,578.93,14.08,201.5,3.1,1.4
Peanuts,Loamy,474.36,18.14,266.0,1.34,4.16
Cauliflower,Loamy,630.73,16.22,145.95,7.22,4.37
Hemp,Sandy,772.02,23.05,242.12,0.94,3.5
Pineapple,Silty,499.58,22.75,272.56,4.1,2.36
Cabbage,Silty,376.77,17.09,233.51,2.6,3.26
Tea,Peaty,889.6,27.89,169.47,0.97,2.03
Hemp,Loamy,226.19,10.65,162.4,0.73,3.1
Apples,Clay,976.06,14.65,123.28,5.28,0.81
Mangoes,Chalky,1112.4,33.42,172.92,3.96,3.4
Oranges,Sandy,1072.42,29.45,147.72,5.71,3.63
Amaranth,Sandy,205.24,29.11,147.64,7.47,4.14
Hemp,Silty,839.75,18.04,80.64,3.43,1.75
Cocoa,Silty,350.41,16.73,229.61,4.58,3.52
Sorghum,Loamy,1137.53,22.76,121.63,6.29,2.01
Avocados,Peaty,359.97,21.45,204.02,3.34,1.02
Cabbage,Chalky,465.97,10.38,102.8,9.65,2.78
Onions,Loamy,825.25,22.48,102.43,9.65,1.77
Beans,Chalky,525.29,10.12,236.49,2.39,4.61
Cassava,Loamy,757.91,20.54,290.54,4.61,1.45
Maize,Sandy,1438.37,24.67,156.23,3.77,1.02
Pears,Clay,591.61,21.36,275.41,6.94,1.3
Strawberries,Chalky,640.75,17.98,268.01,2.84,3.83
Sorghum,Sandy,1250.77,32.57,86.12,0.58,0.97
Tea,Clay,444.98,31.9,167.39,8.71,0.91
Cassava,Silty,1363.78,15.92,73.11,9.77,3.04
Pears,Peaty,414.39,24.05,286.89,7.57,4.97
Oranges,Silty,350.44,11.29,91.17,2.89,4.37
Strawberries,Silty,962.6,28.42,87.67,9.11,3.04
Cauliflower,Peaty,544.93,18.43,196.05,1.46,1.88
Sorghum,Loamy,437.3,16.52,62.71,7.0,4.06
Grapes,Sandy,1285.56,31.03,294.98,3.59,4.9
Amaranth,Clay,1187.85,23.27,110.22,8.72,1.7
Coffee,Peaty,271.01,16.67,286.81,6.8,0.76
Garlic,Loamy,480.0,31.94,202.72,0.95,4.94
Carrots,Peaty,614.9,14.81,158.53,7.74,0.78
Lettuce,Loamy,641.42,12.39,59.92,7.42,1.5
Oranges,Loamy,928.15,21.9,185.39,9.88,1.94
Oranges,Clay,981.51,25.11,72.08,8.48,0.56
Carrots,Clay,958.25,23.07,147.27,0.54,3.65
Wheat,Clay,1047.69,19.89,139.37,4.16,2.12
Oranges,Clay,676.47,18.78,122.9,6.28,0.66
Rice,Sandy,846.73,29.85,178.34,3.28,3.91
Cassava,Clay,202.73,19.46,67.3,7.32,1.03
Peas,Loamy,1237.87,33.19,145.94,8.06,2.81
Avocados,Sandy,462.81,26.23,232.53,6.7,4.72
Lettuce,Loamy,746.05,21.59,232.03,8.95,2.02
Cabbage,Silty,1408.31,33.2,114.8,7.77,4.75
Sunflower,Loamy,1064.5,25.89,91.16,8.45,3.79
Zucchini,Peaty,940.29,15.0,199.06,9.04,3.89
Tobacco,Clay,1344.04,19.64,184.76,4.34,4.47
Cabbage,Loamy,1375.01,24.05,168.38,0.71,4.8
Maize,Silty,1052.01,20.24,273.25,9.54,0.72
Soybeans,Loamy,576.41,11.32,174.18,5.45,1.87
Avocados,Chalky,917.52,22.7,54.38,3.56,1.88
Cotton,Chalky,359.17,29.39,161.13,0.97,0.87
Pears,Peaty,354.62,24.39,92.71,3.67,2.08
Beans,Silty,579.63,26.42,219.58,3.05,1.23
Pineapple,Silty,1169.61,29.75,216.71,7.35,4.42
Flax,Silty,453.8,27.14,81.16,1.65,2.59
Coffee,Sandy,1132.55,20.17,266.66,3.04,2.8
Sunflower,Chalky,633.21,31.66,229.23,8.1,2.37
Coffee,Chalky,725.28,32.2,186.3,2.67,1.72
Hemp,Chalky,731.31,27.78,185.98,1.48,4.45
Maize,Peaty,870.78,18.97,195.84,8.58,4.77
Cauliflower,Chalky,1323.02,25.67,198.24,7.91,2.37
Pears,Clay,577.5,34.04,75.77,3.35,4.8
Tea,Chalky,1056.0,24.55,297.85,8.62,3.46
Sunflower,Chalky,1385.4,27.04,117.07,6.35,4.86
Zucchini,Chalky,212.16,34.37,84.74,6.53,1.5
Cassava,Chalky,1433.72,18.94,249.9,7.68,1.27
Coffee,Clay,485.15,11.77,287.65,5.09,1.45
Tobacco,Chalky,1322.05,32.6,113.88,1.65,4.29
Oats,Sandy,523.37,17.74,289.38,7.41,4.16
Amaranth,Clay,412.97,16.45,168.26,4.14,1.63
Broccoli,Peaty,405.96,11.04,207.21,8.48,3.34
Cabbage,Peaty,436.78,22.94,232.73,0.63,1.79
Cocoa,Clay,571.12,23.44,115.68,5.67,0.88
Barley,Peaty,1199.53,24.41,141.77,8.39,0.83
Tea,Clay,1418.79,22.74,163.69,6.64,3.05
Hemp,Sandy,921.09,26.31,175.7,9.84,1.18
Quinoa,Peaty,1406.52,28.38,262.48,2.68,2.75
Garlic,Loamy,1009.75,33.69,180.59,7.7,1.85
Sorghum,Chalky,1274.06,16.62,172.12,9.69,0.61
Tobacco,Sandy,668.27,34.88,85.24,1.9,4.39
Sunflower,Loamy,307.09,26.73,280.17,1.03,2.86
Onions,Sandy,1213.16,11.69,274.66,0.81,3.95
Blueberries,Silty,1431.59,28.59,54.59,9.12,3.7
Mangoes,Chalky,996.06,20.4,179.48,6.18,4.53
Blueberries,Loamy,1226.34,11.36,87.31,4.57,1.95
Broccoli,Clay,203.93,16.1,83.48,9.71,1.11
Blueberries,Sandy,221.16,25.82,129.56,2.6,2.61
Peanuts,Silty,546.57,29.05,68.66,0.64,0.79
Sorghum,Clay,1217.37,17.72,282.48,3.04,2.99
Cowpeas,Peaty,1409.22,27.83,246.71,2.65,3.87
Blueberries,Peaty,1263.87,24.92,206.28,5.0,4.51
Soybeans,Clay,284.66,23.76,147.9,4.67,1.28
Peas,Clay,751.63,14.32,133.06,9.44,3.52
Apples,Silty,1329.51,28.41,86.6,3.58,3.12
Onions,Clay,492.8,18.76,256.57,9.05,1.2
Oats,Loamy,1201.17,12.42,99.52,6.48,2.86
Corn,Sandy,788.94,33.92,260.52,0.79,1.47
Greengrams,Chalky,1386.9,15.97,256.78,1.24,2.61
Cauliflower,Chalky,1017.26,11.85,228.37,3.87,1.67
Hemp,Sandy,366.78,15.33,237.3,7.21,4.61
Rice,Clay,760.44,15.35,153.15,9.18,2.77
Quinoa,Peaty,1241.41,19.6,179.68,5.07,4.74
Onions,Silty,398.85,30.82,184.69,0.62,2.55
Bananas,Peaty,967.47,32.82,249.88,6.0,3.69
Cabbage,Chalky,1480.8,22.52,171.7,3.9,4.74
Coffee,Silty,685.9,20.34,129.46,1.26,0.76
Sorghum,Loamy,1037.73,30.18,92.29,1.13,4.34
Garlic,Loamy,1131.68,30.32,180.8,4.54,4.39
Carrots,Chalky,527.08,25.35,138.03,9.77,1.39
Greengrams,Loamy,671.23,27.48,224.58,3.05,2.44
Sugarcane,Sandy,1453.99,16.81,137.91,4.48,4.63
Oranges,Chalky,549.91,20.0,180.75,3.7,3.26
Strawberries,Sandy,980.64,22.17,59.07,3.73,4.48
Cabbage,Sandy,258.92,11.83,144.8,5.04,1.42
Greengrams,Silty,633.42,33.36,72.93,7.47,2.97
Peas,Loamy,455.43,25.16,71.61,9.4,4.68
Soybeans,Clay,704.32,11.71,194.72,1.24,3.73
Pumpkin,Peaty,1302.27,14.02,290.33,7.31,4.45
Peas,Silty,1329.31,14.65,266.02,4.21,4.82
Zucchini,Sandy,614.18,20.06,137.12,9.02,4.24
Apples,Peaty,1357.92,28.06,86.32,1.16,4.11
Cowpeas,Silty,1102.87,11.56,78.55,2.14,1.86
Cowpeas,Chalky,606.22,27.3,210.34,9.09,3.94
Flax,Loamy,651.53,16.35,172.12,3.06,4.21
Beans,Loamy,216.45,16.48,126.7,8.13,3.53
Blueberries,Sandy,897.46,33.64,81.86,6.17,1.64
Peanuts,Sandy,1208.65,14.52,109.52,1.41,3.98
Cauliflower,Chalky,477.92,15.25,88.94,1.51,2.47
Millet,Peaty,1107.93,27.02,156.77,7.04,4.24
Cocoa,Sandy,548.3,34.38,250.48,5.75,3.06
Sugarcane,Clay,1238.1,17.1,132.44,5.04,0.89
Oranges,Clay,1086.1,14.04,64.1,5.68,4.05
Millet,Chalky,984.6,29.12,100.13,4.07,4.12
Beans,Peaty,1154.07,29.51,162.99,4.81,3.6
Wheat,Sandy,1420.14,20.6,187.27,4.51,3.84
Millet,Sandy,294.0,24.59,159.15,8.04,2.56
Pumpkin,Sandy,403.55,14.27,146.54,6.48,2.04
Flax,Chalky,543.86,16.94,266.21,9.9,2.49
Pineapple,Sandy,1327.16,24.31,114.48,3.58,4.83
Millet,Loamy,899.74,34.92,78.84,4.63,2.58
Millet,Clay,1470.77,30.64,205.97,2.51,3.26
Lettuce,Loamy,432.52,22.89,189.55,6.49,3.63
Tea,Clay,420.58,18.36,130.54,1.78,3.21
Amaranth,Clay,450.56,29.4,122.18,6.89,3.45
Bananas,Peaty,659.51,31.52,210.78,4.5,4.49
Onions,Chalky,958.55,18.96,130.23,9.35,3.51
Tobacco,Peaty,1170.93,13.26,113.25,4.0,1.18
Sugarcane,Silty,829.43,16.29,81.76,7.84,2.4
Wheat,Chalky,1033.16,33.54,217.9,2.02,2.07
Rice,Clay,734.71,33.94,244.76,6.65,3.96
Sorghum,Silty,947.23,29.49,217.53,8.35,2.66
Alfalfa,Silty,587.28,23.84,71.53,4.84,3.73
Spinach,Peaty,1441.49,32.57,104.41,5.79,2.35
Soybeans,Silty,684.54,14.45,245.02,2.5,2.69
Garlic,Chalky,1018.31,19.72,229.94,1.32,2.37
Hemp,Clay,876.97,24.9,102.75,1.44,3.18
Oats,Peaty,1369.14,20.05,245.59,7.46,4.52
Bananas,Sandy,1396.35,33.53,255.72,2.22,2.27
Onions,Peaty,342.69,32.09,164.24,1.57,3.45
Flax,Sandy,547.1,32.85,56.5,1.38,0.54
Lentils,Silty,847.78,26.49,54.69,9.34,3.89
Wheat,Clay,518.63,29.9,249.05,5.46,4.72
Peas,Chalky,1240.83,32.58,98.07,2.76,4.44
Strawberries,Loamy,877.56,34.98,82.67,8.48,2.5
Cowpeas,Peaty,1447.14,23.71,280.88,7.58,2.3
Cauliflower,Sandy,526.77,25.94,64.03,5.69,0.89
Coffee,Loamy,1461.09,17.63,236.4,1.14,3.83
Wheat,Sandy,1382.29,34.98,92.1,4.34,3.82
Sorghum,Peaty,781.74,23.81,115.48,2.08,4.94
Bananas,Chalky,761.94,26.82,160.76,9.18,3.01
Tea,Loamy,258.93,25.97,155.25,9.05,3.83
Blueberries,Clay,588.35,28.9,196.91,0.62,0.81
Corn,Chalky,1442.85,21.89,85.42,2.24,3.19
Oats,Sandy,1450.35,32.82,100.18,7.74,1.2
Sorghum,Sandy,869.66,26.4,245.52,7.25,4.47
Sugarcane,Clay,753.65,12.44,169.47,3.97,1.18
Cassava,Loamy,644.46,31.88,93.37,9.44,3.59
Sugarcane,Peaty,247.72,32.94,222.81,9.18,2.7
Cocoa,Clay,1272.13,25.16,178.54,1.39,3.94
Garlic,Clay,719.37,31.42,87.64,0.53,1.96
Strawberries,Peaty,1151.25,14.65,214.93,5.66,1.7
Strawberries,Loamy,338.05,11.2,199.17,8.3,3.95
Maize,Chalky,1058.89,18.21,176.32,0.62,3.74
Apples,Peaty,1217.89,14.76,247.15,6.91,3.52
Carrots,Clay,980.97,34.88,236.09,4.99,3.41
Peas,Chalky,216.27,12.02,86.06,6.11,1.02
Barley,Peaty,530.11,19.28,182.55,4.63,2.67
Tomatoes,Chalky,1300.46,33.33,138.18,9.1,3.41
Lettuce,Clay,1081.54,20.71,175.55,9.57,4.96
Cowpeas,Loamy,1216.76,16.25,165.97,9.15,4.71
Millet,Silty,1482.53,26.71,195.63,3.69,4.82
Lettuce,Clay,1182.23,18.72,142.91,1.04,2.45
Millet,Loamy,218.48,27.63,216.78,3.64,1.31
Tomatoes,Clay,888.96,15.7,179.78,4.53,4.96
Tomatoes,Peaty,1020.2,27.75,189.18,9.91,1.46
Pumpkin,Clay,812.15,16.07,58.46,4.43,4.43
Flax,Sandy,1466.78,34.72,274.96,6.25,3.57
Wheat,Chalky,865.78,28.46,84.4,4.55,3.99
Cocoa,Loamy,1171.75,25.11,218.06,0.71,2.89
Beans,Loamy,395.36,29.79,279.07,7.99,3.67
Bananas,Peaty,1036.5,15.7,249.72,6.51,1.1
Pineapple,Sandy,964.69,24.38,268.7,7.55,3.68
Avocados,Chalky,574.01,16.12,145.3,8.84,1.19
Maize,Clay,981.0,26.56,193.51,4.41,3.01
Bananas,Chalky,1023.06,19.16,64.46,1.92,1.4
Blueberries,Peaty,514.94,26.71,58.13,2.05,3.61
Wheat,Clay,1498.29,20.5,286.81,5.18,2.85
Oranges,Chalky,717.91,24.9,150.3,5.2,0.68
Soybeans,Silty,471.77,22.65,216.89,9.16,1.43
Greengrams,Silty,1281.8,14.08,55.48,0.89,2.16
Barley,Peaty,1499.24,18.64,160.49,9.85,2.06
Coffee,Clay,250.66,12.1,263.85,9.57,3.86
Tobacco,Loamy,1111.97,18.08,207.36,5.76,3.74
Pears,Loamy,1290.67,10.2,298.15,9.06,0.95
Amaranth,Sandy,655.9,33.48,108.84,1.69,2.17
Sorghum,Sandy,1202.33,32.53,289.26,7.14,3.27
Cauliflower,Sandy,1051.57,15.02,222.67,0.74,0.86
Pumpkin,Clay,771.32,20.55,170.4,7.91,1.96
Sunflower,Loamy,602.53,18.69,89.08,8.66,3.34
Sorghum,Loamy,240.7,19.55,299.45,6.1,0.57
Cowpeas,Chalky,727.66,12.09,192.38,7.63,2.69
Apples,Clay,446.49,16.91,173.21,8.66,1.68
Avocados,Loamy,629.25,16.39,87.96,7.93,3.4
Avocados,Peaty,1279.35,18.7,224.6,1.49,3.26
Mangoes,Peaty,1094.94,26.23,111.46,3.01,2.53
Cocoa,Silty,734.34,13.98,92.63,9.63,4.46
Carrots,Peaty,487.78,21.76,87.97,1.66,3.33
Peanuts,Chalky,206.01,16.95,237.62,3.66,0.85
Oats,Clay,1045.89,32.15,114.77,4.79,4.36
Mangoes,Chalky,393.27,26.13,255.1,6.9,3.44
Alfalfa,Loamy,1477.92,34.7,174.78,3.24,2.62
Beans,Loamy,632.82,17.27,238.95,3.36,4.65
Lettuce,Chalky,929.78,25.69,52.98,1.38,4.18
Cabbage,Chalky,585.43,13.7,97.28,5.44,3.08
Garlic,Peaty,1183.44,30.22,69.68,9.32,4.96
Pears,Silty,831.33,11.19,289.53,4.78,4.28
Hemp,Peaty,388.52,24.1,174.99,8.59,2.36
Tobacco,Silty,504.9,18.62,120.13,1.96,1.07
Apples,Clay,620.76,23.63,180.96,4.74,3.26
Pears,Peaty,1198.77,25.0,92.23,8.71,4.81
Grapes,Sandy,356.54,15.56,222.47,5.76,3.73
Beans,Sandy,233.66,33.52,149.36,7.41,4.71
Cocoa,Peaty,872.85,16.58,227.7,7.64,1.86
Chickpeas,Clay,1112.3,25.81,285.7,2.64,4.24
Pumpkin,Peaty,1011.99,10.53,63.93,6.21,4.09
Spinach,Sandy,1041.22,31.65,189.09,4.76,2.3
Cowpeas,Chalky,320.26,32.1,235.89,4.11,3.14
Tomatoes,Chalky,1288.49,22.55,150.34,8.62,2.13
Mangoes,Silty,466.17,24.3,282.66,3.19,1.89
Alfalfa,Silty,673.8,29.82,240.51,6.77,3.07
Flax,Peaty,378.06,15.45,73.96,6.08,0.68
Cotton,Clay,645.44,34.31,269.38,3.63,3.21
Millet,Loamy,381.17,15.62,82.57,7.44,4.66
Sugarcane,Clay,1317.75,19.65,218.69,6.13,2.52
Potatoes,Sandy,565.91,17.21,62.56,9.47,4.45
Peas,Loamy,295.2,13.96,126.12,3.41,3.01
Barley,Sandy,1277.34,30.31,247.52,4.42,2.53
Rice,Silty,510.72,28.0,132.06,5.9,1.72
Apples,Clay,823.61,15.84,181.56,7.21,2.16
Cassava,Peaty,529.51,11.79,183.51,5.58,3.82
Peas,Silty,1423.77,13.45,190.38,0.87,3.71
Hemp,Sandy,1088.33,15.76,261.48,9.64,3.19
Cassava,Sandy,278.24,24.32,198.03,5.11,1.04
Millet,Sandy,1163.8,25.42,166.82,6.47,3.35
Hemp,Sandy,1421.83,33.15,259.15,9.12,0.8
Amaranth,Chalky,268.68,11.42,50.39,4.7,2.51
Cocoa,Peaty,517.77,25.74,190.64,2.43,4.26
Cabbage,Clay,953.64,31.67,161.42,7.19,2.66
Barley,Sandy,887.23,18.5,140.67,6.98,3.94
Lettuce,Loamy,393.64,29.65,57.09,7.3,2.28
Tobacco,Chalky,277.25,29.16,177.08,9.79,0.95
Cocoa,Peaty,349.03,30.93,132.68,6.08,3.88
Hemp,Silty,422.75,13.53,57.35,8.7,4.24
Barley,Silty,884.0,26.69,106.9,5.91,2.92
Pumpkin,Loamy,608.11,14.26,96.33,4.85,4.51
Alfalfa,Chalky,1498.81,30.06,226.3,1.98,1.0
Coffee,Chalky,1450.0,14.76,150.09,2.67,2.89
Tobacco,Silty,733.6,22.9,141.58,7.62,3.49
Garlic,Silty,697.7,27.54,285.71,2.93,1.75
Pineapple,Chalky,1431.84,12.52,50.16,5.46,0.52
Broccoli,Clay,1207.74,26.22,105.7,2.37,3.41
Peanuts,Silty,351.05,28.33,59.09,7.24,2.44
Lentils,Clay,799.75,28.55,134.84,2.52,2.57
Quinoa,Sandy,211.82,30.69,279.48,4.06,0.64
Rice,Silty,868.88,28.69,128.91,2.2,2.72
Barley,Sandy,469.66,29.11,194.52,8.14,1.48
Hemp,Sandy,240.37,16.31,65.62,9.59,2.02
Hemp,Loamy,772.59,26.16,165.47,6.73,1.9
Carrots,Clay,1409.18,23.85,192.49,4.54,3.73
Carrots,Sandy,1427.52,10.11,82.54,3.31,4.71
Pumpkin,Loamy,1148.25,19.43,136.33,6.46,1.69
Beans,Loamy,1059.13,29.29,103.68,6.39,0.94
Beans,Chalky,1192.87,11.77,130.83,2.36,4.06
Beans,Sandy,1048.57,26.8,165.26,9.31,4.13
Wheat,Silty,603.95,11.1,238.99,8.58,0.99
Cotton,Peaty,323.39,33.61,295.48,4.33,2.51
Beans,Loamy,1096.53,14.23,220.5,4.95,4.15
Soybeans,Peaty,1071.95,27.64,140.45,5.68,4.85
Cauliflower,Sandy,568.17,28.61,254.44,4.04,3.85
Sugarcane,Silty,1062.11,34.36,241.41,6.78,3.54
Alfalfa,Sandy,826.57,21.65,299.88,2.44,3.3
Cotton,Clay,1247.89,13.68,199.69,9.55,2.07
Lentils,Silty,662.01,31.56,295.88,5.06,2.24
Zucchini,Peaty,381.99,12.43,122.72,7.05,3.97
Grapes,Loamy,1155.55,29.05,79.57,2.06,1.3
Hemp,Clay,1246.32,10.62,208.76,4.51,3.5
Cowpeas,Loamy,912.67,24.85,169.92,3.2,1.52
Wheat,Silty,330.77,29.57,61.05,9.02,4.31
Cotton,Peaty,1440.19,20.28,242.85,5.8,2.84
Quinoa,Silty,1345.0,20.27,129.79,3.61,0.98
Lentils,Loamy,348.53,14.76,127.18,3.41,1.44
Chickpeas,Peaty,580.08,10.87,91.62,3.66,1.87
Grapes,Chalky,942.87,17.24,243.99,4.38,4.79
Beans,Silty,1111.92,10.59,278.23,3.94,1.87
Soybeans,Sandy,794.11,27.22,133.94,7.48,4.63
Lentils,Loamy,860.25,20.43,229.68,9.75,0.79
Flax,Loamy,985.72,34.96,200.38,1.5,3.49
Cotton,Sandy,1259.53,17.69,243.54,6.83,2.46
Greengrams,Clay,608.23,30.77,274.87,0.63,3.07
Pears,Silty,662.28,33.74,258.38,1.88,2.59
Zucchini,Chalky,314.79,34.67,187.7,4.92,0.73
Cotton,Sandy,1460.28,17.73,271.98,2.69,1.06
Apples,Sandy,755.75,30.35,229.57,4.32,0.96
Pumpkin,Silty,1043.83,25.76,167.93,4.66,1.76
Peas,Peaty,1074.31,31.19,136.64,2.96,2.31
Beans,Chalky,1078.03,30.98,235.26,9.6,3.26
Bananas,Chalky,1199.97,22.53,171.13,3.78,3.31
Potatoes,Chalky,315.62,18.35,176.47,4.2,2.99
Sunflower,Sandy,267.45,12.94,208.05,9.88,1.05
Tomatoes,Chalky,704.94,14.89,259.34,4.62,1.34
